run_name,degree,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,3,action,21,46928,9.767976177650318e-05,0.0001730000915997173,0.0,1.190685940260283e-21,2.6154179268050058e-20,1.773559410020613e-13,1.236095222345579e-07,5.42682954432494e-06,3.304507781060496e-05,0.00011447604564067534,0.00040546776854016013,0.0008230761799225698,0.0016547011967520929,0.0027412037531235273,0.0031736577470159663
temp,3,action,22,46928,0.0002100924834367436,0.0003309379664363681,0.0,3.9812249437716126e-22,7.950025613766021e-21,2.941945298484679e-13,3.712596650995437e-07,1.5447354802355928e-05,8.43146084508195e-05,0.00026422662640734895,0.0008445117977153528,0.001560425263569131,0.0027833034942140638,0.004403956713436443,0.006093040983292886
temp,3,action,23,46928,0.00024657224338529133,0.00042310674505037185,0.0,3.8212110842203576e-22,8.984181703581787e-21,2.812521049389005e-13,3.7261795262644163e-07,1.591982012047466e-05,9.010551648841458e-05,0.000291407791245514,0.0010295694486382235,0.002031787627298193,0.003778496214029115,0.006539211020043139,0.008091966661695982
temp,3,action,24,46928,9.167186444639196e-05,0.00015434628318840784,0.0,3.489208610725056e-22,1.1268238899551692e-20,1.2144317060156807e-13,1.1236302040751315e-07,6.18078074188233e-06,3.552257258986058e-05,0.00011227581322208885,0.00037297544114592166,0.0007174971032042776,0.001455110487787552,0.0023109784178361524,0.003469502193093721
temp,3,action,25,46928,0.00016303264246116418,0.0002534470734993756,0.0,2.8153415130162446e-21,7.419058280112708e-20,4.2403858202533144e-13,2.768917432449668e-07,1.2711424444367125e-05,6.884788527750096e-05,0.0002075692668644935,0.000644551871772703,0.0012142715111499703,0.0022015227516912553,0.003277933929867781,0.004366745820876483
temp,3,action,26,46928,8.699669481755898e-05,0.00015117002822310834,0.0,1.3908622816045726e-21,3.300211733173501e-20,1.2396021709104582e-13,1.026014216559678e-07,5.379931605455773e-06,3.073283442181843e-05,0.00010175021759550526,0.0003655770032633716,0.0007154141387604227,0.0014116177032541444,0.002210038900185715,0.0033890104808659074
temp,3,action,27,46928,0.00023630886973474051,0.00036263949339108146,0.0,3.4378490297493966e-22,8.482306320835662e-21,2.9741209495170995e-13,3.882139198607692e-07,1.855020490726389e-05,9.923263462141563e-05,0.0003020973631041868,0.0009339087807800797,0.0017376350616086376,0.002944760151910395,0.004890902692921243,0.0064680808722221705
temp,3,action,28,46928,0.00017730854250603246,0.00029826443738564025,0.0,1.1825096855489117e-21,2.64541440737137e-20,2.6990076840149845e-13,2.746745974113729e-07,1.2243110536658275e-05,6.79013667476136e-05,0.0002146160444592149,0.0007141755298710646,0.0014254011611636666,0.0026460744172448957,0.004885451728275545,0.005946480929630571
temp,3,action,29,46928,7.083010328541947e-05,0.00017906630296206532,0.0,2.220446049250313e-16,1.388666959201145e-14,1.0578806830530138e-09,4.3357947765443316e-08,9.911343754609447e-07,7.949854026745307e-06,5.111354312153926e-05,0.0003682172399616103,0.0008967185744922493,0.0017717797759510502,0.0028396802490206407,0.004565952955313035
temp,3,action,30,46928,0.0001427419718557863,0.00024391987255759805,0.0,1.1102230246251565e-16,4.7390980029149396e-14,1.6918168005419767e-08,1.065638822395076e-06,1.0833948335869925e-05,5.0004344840426374e-05,0.00016200964533633067,0.0006098156424647007,0.0012198730952825494,0.0020461279521911168,0.0025751758548893835,0.0034285638828401854
temp,3,action,31,46928,9.291315496079357e-06,6.32362546613088e-05,0.0,2.7755575615628914e-17,1.1102230246251565e-16,5.916625522850434e-12,9.573536352558418e-10,6.737743092621873e-08,9.532776107518126e-07,4.233134108015679e-06,2.7222665903076103e-05,0.00013745701996604792,0.0008826678056341995,0.0023874776961608185,0.003991978042771266
temp,3,action,32,46928,0.0001815459970921614,0.0003294114245680624,0.0,2.220446049250313e-16,6.458389378849453e-14,1.71714055530181e-08,1.1849376519545983e-06,1.4012853401301761e-05,5.9741330239115875e-05,0.00019445381482030566,0.0008032517978077362,0.0016663663097488503,0.0028133906709768668,0.004737045326917082,0.006500514614349973
temp,3,action,33,46928,0.00029384166029332965,0.00046908254347958334,0.0,2.220446049250313e-16,6.885995246230772e-14,1.4326118547014486e-08,8.213743194707135e-07,1.4865529968377533e-05,0.00010119271940367547,0.0003684249322328248,0.0012539828862627945,0.0022111895489520302,0.0034772365986142687,0.005485341063096873,0.00782189110096665
temp,3,action,34,46928,0.0003685175702716348,0.0005238397068694092,0.0,5.551115123125783e-17,1.1708412017696895e-13,4.171446369438668e-08,2.814130181200136e-06,3.289726504610013e-05,0.00015432636809065148,0.0004932783672224675,0.001465852067896999,0.0023251190043481118,0.003955101553481952,0.00641702655113359,0.008267254115406075
temp,3,action,35,46928,0.00023737443639846307,0.00038089197294749726,0.0,2.7755575615628914e-17,1.1243339592681418e-13,3.09408931364885e-08,1.6530530407843358e-06,1.7828957571991433e-05,9.02032918690121e-05,0.0002907259147078983,0.0009805027904592402,0.0018481539980866053,0.0031433965942189914,0.004471891962152579,0.005104499932778339
temp,3,action,36,46928,0.00027849561718610325,0.00042848584235503223,0.0,9.430736799358041e-18,2.220446049250313e-16,4.7806849483661945e-12,2.2441173053167057e-07,1.647051457745463e-05,0.00011003750200622164,0.00035707615541136217,0.001135445413271441,0.002025552647819097,0.003335416844932501,0.004909255019567479,0.005704403323472995
temp,3,action,37,46928,0.00024887529369620203,0.0003855787959201337,0.0,9.025888890020874e-22,2.0150509700702334e-20,2.511935104365646e-13,1.86859812379217e-07,1.4672129175083686e-05,0.00010183555694176505,0.00032064605929769474,0.0010097504156377146,0.0018397891302475873,0.00311347898896279,0.0046671838018388645,0.006013519116193147
temp,3,action,38,46928,0.00031550840330537894,0.000511307151458715,0.0,1.1468746051161145e-22,2.3760312273199188e-21,2.467956394802672e-13,2.6549625236071935e-07,1.78803536680823e-05,0.00012021071786279605,0.0003863410090414604,0.001322234926661595,0.0024316089622709513,0.004430015824020838,0.006278379419469086,0.007097399905125701
temp,3,action,39,46928,0.00020870730443362594,0.00034014513777506065,0.0,1.1637745844850344e-21,2.412064237226988e-20,2.6210977832619164e-13,1.3650619030691756e-07,1.0469667702975305e-05,7.703884980600484e-05,0.00025936814807029154,0.0008616540331251659,0.001635058737389926,0.002854168733982187,0.003992608116696968,0.005474971347076363
temp,3,action,40,46928,0.00019518762261004386,0.00041627279333719295,0.0,3.4639675209516606e-22,8.136580994756106e-21,9.003818856270799e-14,4.089662796677438e-08,3.028614837394944e-06,3.055680317842757e-05,0.0001856219450231955,0.0009614531710277075,0.002067455174244712,0.0038707886368392237,0.005953558249248087,0.008120678365894585
temp,3,action,41,46928,0.00030579629764705983,0.00048542606144986257,0.0,3.5035979230578516e-21,8.168845400991101e-20,3.9913514348298487e-13,2.1220094497120807e-07,1.5019835313379026e-05,0.00011217944653807432,0.0003813622749399559,0.001295614169891625,0.002294295173374821,0.0036703132789492623,0.005719925889065555,0.007399001256919835
temp,3,action,42,46928,0.00013130283914042818,0.00021092454059313796,0.0,1.0072253116082978e-21,2.3937987230488655e-20,1.6732240593064746e-13,8.315356294710805e-08,6.92388229629054e-06,4.94165825608503e-05,0.0001649998924012179,0.0005435085911176284,0.0010128552904923106,0.001766174410522419,0.0024084044666162884,0.00394817753395342
temp,3,action,43,46928,0.00022764707987757172,0.00041300316545433367,0.0,4.41207513558825e-22,8.256679174612614e-21,1.3015422073436857e-13,1.2238494816324537e-07,8.67597879999904e-06,6.755729547339162e-05,0.00025455256638777166,0.0010204145631949645,0.0020163702527805807,0.003547820342706623,0.005450207497437004,0.007797100768991511
temp,3,action,44,46928,0.0002038758273019814,0.000419073415654241,0.0,3.959717968167853e-22,8.949758850704677e-21,1.0374361047478067e-13,9.590379874135911e-08,6.86992809715084e-06,5.23726946633149e-05,0.00020068762559866463,0.0009382182061296211,0.0020814563773320074,0.0040985766612693045,0.006017695956172094,0.006845762885219486
temp,3,action,45,46928,0.00014331908345287733,0.00021073503023314924,0.0,2.5710340922038066e-19,4.988467606602812e-18,1.8441359550536143e-12,1.4780088444243942e-07,1.040427895487861e-05,6.530446984509553e-05,0.00019188839378464495,0.0005392189851892049,0.000985475262597529,0.0017980823074796634,0.0028701116722152503,0.0040555382787514915
temp,3,action,46,46928,8.54236514500401e-05,0.00014428296822172033,0.0,6.648721812573983e-22,2.044932489476862e-20,1.162611673599652e-13,5.652848684770116e-08,4.436216470748468e-06,3.2042324544257275e-05,0.00010487570473283539,0.0003498150288530215,0.0006694416334030108,0.001366191720669987,0.0020579113206442507,0.003367708527339343
temp,3,action,47,46928,0.00020260679972939724,0.00031091397886770934,0.0,5.496239056534598e-22,1.2701664102571231e-20,2.3269441928874794e-13,1.6804102568324084e-07,1.3370684462388205e-05,8.555321873326971e-05,0.00026284730003742207,0.0007960215703306964,0.0014641436193941807,0.0026554477754362434,0.0037516725250347827,0.005341867054898808
temp,3,action,48,46928,0.00016631978480312863,0.000276407602267617,0.0,5.700935976511878e-22,1.1150873869375575e-20,1.8533963237266992e-13,1.4743214293844173e-07,1.064693969637931e-05,6.614586400777167e-05,0.00020623185600096572,0.0006567000709750138,0.0013015768183455183,0.0025891569733116787,0.004438499219950787,0.005600755077925457
temp,3,action,49,46928,7.869872992390535e-05,0.00012780364906805252,0.0,1.7965216587697535e-19,9.213215849870711e-18,1.1597389715234377e-12,7.285619123553743e-08,5.199416483192554e-06,3.4433944532175076e-05,0.00010353253168571275,0.0002904490449270326,0.0005855495797823986,0.00130978303242292,0.0021057397899654725,0.0029610346979914437
temp,3,action,50,46928,6.795985821208213e-05,0.00011568039167487255,0.0,2.1832094013029683e-22,1.5047789304759083e-20,9.135817102823285e-14,4.633644123258616e-08,3.6470623181426853e-06,2.5358045078471836e-05,8.300781238991528e-05,0.0002736450695167016,0.0005490563121586431,0.0010537864801543576,0.001656036676718007,0.0024592764770823006
temp,3,action,51,46928,0.00015246526789349893,0.0002136677958539949,0.0,5.376555705543256e-22,1.2857542758516469e-20,2.7739730402109577e-13,1.541824124151603e-07,1.2266694400520084e-05,7.38405027231881e-05,0.00021147229551843338,0.0005593987795209479,0.0009897413894135844,0.0017764144892880986,0.0026486202230153583,0.0029276320061693006
temp,3,action,52,46928,0.00014999065136602418,0.0002106109937622182,0.0,1.0024207053175464e-21,1.5802454066289456e-20,2.490348205430588e-13,1.530528521032081e-07,1.2086775455111276e-05,7.39164810488191e-05,0.00020987132293187605,0.0005405393212067458,0.0009534500537126548,0.0017846412614598319,0.002941705397807866,0.004284950123071951
temp,3,action,53,46928,8.389490010303178e-05,0.00013620808672410107,0.0,7.137681490563164e-22,1.4466075123790588e-20,1.0037445296971242e-13,8.494220202909242e-08,6.186782588728235e-06,3.7689653341964335e-05,0.00010665699686752267,0.0003171748068556955,0.0006348206720538865,0.0012512384671831195,0.0028326488616976816,0.003275691598513847
temp,3,action,54,46928,6.256636228416814e-05,0.0001189750113574245,0.0,9.223665819249874e-21,1.2576704602312503e-18,8.29025736948095e-13,5.2074713774441455e-08,3.929400757607393e-06,2.578477769865639e-05,7.574868881699004e-05,0.0002342377183065393,0.0005139355634158022,0.001399842354498067,0.00244669775379197,0.003105812732917379
